統編,年份,Tot變化
75370905,2029,80.24227591
75370905,2030,81.60977365
75370905,2031,68.92729321
75370905,2032,59.44320029
75370905,2033,67.71301036
75370905,2034,54.88969009
75370905,2035,70.77521131
75370905,2036,54.67727821
75370905,2037,51.03655081
75370905,2038,49.80682811
75370905,2039,44.08508091
75370905,2040,48.95755741
75370905,2041,38.11493557
75370905,2042,49.25665308
75370905,2043,47.53763879
75370905,2044,36.37661422
75370905,2045,30.11182719
75370905,2046,26.51340448
75370905,2047,30.62519308
75370905,2048,27.29708973
75370905,2049,25.92015334
75370905,2050,20.18864131
83387850,2019,111.0964626
83387850,2018,105.344738
83387850,2017,150.5538004
83387850,2016,136.3155698
83387850,2015,110.7672878
83387850,2014,103.4928417
83387850,2020,72.87049115
83387850,2021,88.09611459
83387850,2022,71.57134182
83387850,2023,70.25019293
83387850,2024,46.61316261
83387850,2025,38.10343159
83387850,2026,38.9977102
83387850,2027,30.70832737
83387850,2028,21.12022132
83387850,2029,7.542262221
83387850,2030,0
83387850,2031,0
83387850,2032,0
83387850,2033,0
83387850,2034,0
83387850,2035,0
83387850,2036,0
83387850,2037,0
83387850,2038,0
83387850,2039,0
83387850,2040,0
83387850,2041,0
83387850,2042,0
83387850,2043,0
83387850,2044,0
83387850,2045,0
83387850,2046,0
83387850,2047,0
83387850,2048,0
83387850,2049,0
83387850,2050,0
86522210,2020,94.57820095
86522210,2019,106.7337207
86522210,2018,120.2777559
86522210,2017,111.6130726
86522210,2016,102.0032199
86522210,2015,118.1796776
86522210,2014,101.6026424
86522210,2013,126.8877521
86522210,2021,76.32852416
86522210,2022,74.41649577
86522210,2023,93.72930259
86522210,2024,70.37299263
86522210,2025,88.688496
86522210,2026,85.13721278
86522210,2027,76.92743677
86522210,2028,88.07589244
86522210,2029,83.38335719
86522210,2030,66.48238879
86522210,2031,64.25398961
86522210,2032,83.16685701
86522210,2033,69.90770332
86522210,2034,72.01527704
86522210,2035,60.5118884
86522210,2036,49.51381066
86522210,2037,58.97990324
86522210,2038,49.0145518
86522210,2039,56.94464846
86522210,2040,52.35407621
86522210,2041,60.70933652
86522210,2042,52.0772944
86522210,2043,51.58569357
86522210,2044,44.68377952
86522210,2045,50.44562077
86522210,2046,49.79259571
86522210,2047,34.25091953
86522210,2048,32.43005645
86522210,2049,38.55936081
86522210,2050,30.96242654
3707901,2020,86.83324586
3707901,2019,92.00405555
3707901,2018,92.95318881
3707901,2017,82.76880424
3707901,2016,91.4677407
3707901,2015,107.5981103
3707901,2014,109.1176351
3707901,2013,91.03390375
3707901,2021,100.1931504
3707901,2022,94.0604129
3707901,2023,64.32292704
3707901,2024,88.37623991
3707901,2025,75.83930247
3707901,2026,58.61996597
3707901,2027,80.68965895
3707901,2028,52.90130014
3707901,2029,57.0879855
3707901,2030,71.49662316
3707901,2031,51.60633547
3707901,2032,52.52231695
3707901,2033,45.05342212
3707901,2034,48.56603221
3707901,2035,40.18366318
3707901,2036,46.09114796
3707901,2037,37.25549867
3707901,2038,44.40360648
3707901,2039,45.63454002
3707901,2040,41.73559403
3707901,2041,32.76327581
3707901,2042,24.86729249
3707901,2043,23.80607341
3707901,2044,28.30663445
3707901,2045,25.6996886
3707901,2046,21.37418695
3707901,2047,20.04117909
3707901,2048,12.82784359
3707901,2049,13.73867853
3707901,2050,8.858470925
4748660,2020,87.26673776
4748660,2019,106.0399656
4748660,2018,77.64761797
4748660,2017,94.57738776
4748660,2016,106.0637267
4748660,2015,102.0198457
4748660,2021,126.6913236
4748660,2022,123.285965
4748660,2023,120.0742941
4748660,2024,133.474153
4748660,2025,109.035427
4748660,2026,147.278639
4748660,2027,113.7485061
4748660,2028,137.5272874
4748660,2029,114.2221905
4748660,2030,141.1168133
4748660,2031,118.4685445
4748660,2032,145.3392714
4748660,2033,162.5716808
4748660,2034,128.9587571
4748660,2035,143.9103941
4748660,2036,168.1351029
4748660,2037,184.1336424
4748660,2038,142.3884239
4748660,2039,193.6267852
4748660,2040,141.7917316
4748660,2041,172.3712887
4748660,2042,197.7517335
4748660,2043,208.7860421
4748660,2044,160.0792199
4748660,2045,207.5874489
4748660,2046,190.0340443
4748660,2047,208.3960419
4748660,2048,221.5625583
4748660,2049,196.9960971
4748660,2050,181.7620276
